jurusanlama,nilai1,nilai2,tbsm,tkj,ipa,titl,ips,akt,rpl,tkro,mm,pem,dpib,meka,jurusan
3,0.7,0.3214285714285712,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.72,0.8571428571428568,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.7,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.78,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
2,0.732,0.5285714285714285,0,1,0,0,0,0,0,0,0,0,0,0,1
4,0.6000000000000001,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,2
3,0.9199999999999999,0.8928571428571428,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.7,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.7,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
